"Movie1" "Movie2" "Movie3" "Movie4" "Movie5" "Movie6" "Movie7" "Movie8" "Movie9" "Movie10" "Movie11" "Movie12" "Movie13" "Movie14" "Movie15" "Movie16" "Movie17" "Movie18" "Movie19" "Movie20" "Movie21" "Movie22" "Movie23" "Movie24" "Movie25" "Movie26" "Movie27" "Movie28" "Movie29" "Movie30" "Movie31" "Movie32" "Movie33" "Movie34" "Movie35" "Movie36" "Movie37" "Movie38" "Movie39" "Movie40" "Movie41" "Movie42" "Movie43" "Movie44" "Movie45" "Movie46" "Movie47" "Movie48" "Movie49" "Movie50" "Movie51" "Movie52" "Movie53" "Movie54" "Movie55" "Movie56" "Movie57" "Movie58" "Movie59" "Movie60"
"User1" 10 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 5 -1 -1 -1 -1 -1 -1 -1 2 -1 -1 -1 -1 -1 -1 -1 -1 -1 7 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 9 -1 -1 -1 -1 -1 -1
"User2" 8 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 8 -1 -1 -1 -1 -1 -1 -1 -1 8 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
"User3" -1 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 8 -1 7 -1 -1 7 -1 8 -1 -1 -1 -1 -1 -1 -1 6 -1 6 -1 -1 -1 6 -1 7 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 7 6
"User4" -1 -1 5 5 -1 7 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1
"User5" -1 9 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 7 -1 -1 10 -1 -1 -1 -1 -1 9 -1 -1 -1 -1 6 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 10 10 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
"User6" -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 8 -1 -1 -1 -1 -1 -1 8 -1 7 -1 -1 -1 9 -1 -1 -1 -1 -1 6 -1 -1 -1 8 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 8 -1 -1 -1 -1 -1
"User7" 5 6 -1 -1 -1 -1 -1 -1 5 -1 -1 6 -1 -1 5 3 5 -1 -1 -1 -1 5 -1 3 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 5 -1 6 -1 -1 -1 -1 -1 -1
"User8" -1 -1 -1 -1 -1 -1 4 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 4 -1 -1 5 4 -1 -1 -1 -1 -1 -1 -1 -1
"User9" -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 5 -1 -1 7 -1 -1 8 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 8 -1 -1 -1 -1 -1 -1 4 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1
"User10" -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 4 -1 -1 -1 -1 -1 -1 -1 4 -1 -1 -1 8 -1 -1 -1 -1 -1 7 -1 -1 -1 9 8 -1 -1 -1 -1 4 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
